target_id	length	eff_length	est_counts	tpm
ENST00000543159	720	548.245	0	0
ENST00000543704	616	444.245	0	0
ENST00000543845	596	424.245	0	0
ENST00000544193	255	83.4783	0	0
ENST00000544245	660	488.245	0	0
ENST00000262820	3972	3800.24	0	0
ENST00000371876	5331	5159.24	0	0
ENST00000371878	3234	3062.24	0	0
ENST00000371882	3256	3084.24	0	0
ENST00000447671	3972	3800.24	0	0
ENST00000453826	306	134.245	2.29949	0.73956
ENST00000469946	2353	2181.24	0	0
ENST00000539496	3071	2899.24	0	0
ENST00000540167	3396	3224.24	0	0
ENST00000541812	3102	2930.24	0	0
ENST00000545703	3322	3150.24	532.701	7.30093
ENST00000001146	4732	4560.24	17.0078	0.161027
ENST00000412253	4025	3853.24	6.10466e-08	6.84028e-10
ENST00000461519	567	395.245	0	0
ENST00000474509	574	402.245	4.14059e-05	4.44438e-06
ENST00000546307	4331	4159.24	67284	698.452
ENST00000265577	2309	2137.24	0	0
ENST00000317367	946	774.245	0	0
ENST00000396675	2133	1961.24	0	0
ENST00000401396	1742	1570.24	0	0
ENST00000402384	2458	2286.24	224	4.23023
ENST00000406470	2440	2268.24	0	0
ENST00000407906	1615	1443.24	0	0
ENST00000422063	1539	1367.24	0	0
ENST00000430867	551	379.245	0	0
ENST00000446305	539	367.245	0	0
ENST00000447326	604	432.245	0	0
ENST00000002501	2079	1907.24	126.174	2.8563
ENST00000304733	2081	1909.24	4376.19	98.9633
ENST00000392973	2689	2517.24	0	0
ENST00000568838	993	821.245	936.633	49.242
ENST00000264276	6644	6472.24	0	0
ENST00000409632	571	399.245	0	0
ENST00000410052	559	387.245	0	0
ENST00000467448	2677	2505.24	0	0
ENST00000272879	2073	1901.24	0	0
ENST00000286186	5928	5756.24	0	0
ENST00000313728	1521	1349.24	0	0
ENST00000346817	3926	3754.24	0	0
ENST00000360132	5814	5642.24	0	0
ENST00000374650	1126	954.245	0	0
ENST00000448480	1603	1431.24	0	0
ENST00000309955	14672	14500.2	0	0
ENST00000340870	963	791.245	0	0
ENST00000341222	1283	1111.24	0	0
ENST00000341582	2056	1884.24	34.5029	0.790601
ENST00000342795	1613	1441.24	0	0
ENST00000395148	4415	4243.24	0	0
ENST00000417748	684	512.245	0	0
ENST00000423241	2128	1956.24	0	0
ENST00000425030	596	424.245	0	0
ENST00000433445	435	263.245	0	0
ENST00000440180	1198	1026.24	0	0
ENST00000441224	655	483.245	0	0
ENST00000443227	1679	1507.24	8494.03	243.315
ENST00000457277	1868	1696.24	0	0
ENST00000462763	588	416.245	197.466	20.4824
ENST00000470178	516	344.245	0	0
ENST00000479953	1230	1058.24	0	0
ENST00000494258	693	521.245	0	0
ENST00000233156	3913	3741.24	2.19368e-06	2.5316e-08
ENST00000339091	1088	916.245	0	0
ENST00000392365	3649	3477.24	1683.68	20.9057
ENST00000409676	1119	947.245	0	0
ENST00000417013	554	382.245	0	0
ENST00000420747	685	513.245	0	0
ENST00000421427	804	632.245	0	0
ENST00000426055	1161	989.245	206.982	9.03377
ENST00000435414	687	515.245	703.14	58.9206
ENST00000437725	545	373.245	0	0
ENST00000453013	733	561.245	29.1937	2.24583
ENST00000002125	2176	2004.24	0	0
ENST00000336237	1869	1697.24	0	0
ENST00000416653	473	301.245	0	0
ENST00000431821	783	611.245	1	0.0706357
ENST00000432075	663	491.245	0	0
ENST00000439218	934	762.245	0	0
ENST00000347869	3188	3016.24	0	0
ENST00000404526	580	408.245	0	0
ENST00000417905	427	255.245	12	2.02985
ENST00000437500	582	410.245	0	0
ENST00000441305	569	397.245	0	0
ENST00000469838	2716	2544.24	0	0
ENST00000180173	3850	3678.24	0	0
ENST00000521857	2158	1986.24	0	0
ENST00000004531	7560	7388.24	110.989	0.648602
ENST00000398090	7557	7385.24	0	0
ENST00000470360	7638	7466.24	843.011	4.87495
ENST00000494857	7622	7450.24	0	0
ENST00000522656	2274	2102.24	0	0
ENST00000000233	1103	931.245	6.68757	0.310059
ENST00000415666	546	374.245	307.312	35.4539
ENST00000578128	897	725.245	0	0
ENST00000579593	1113	941.245	0	0
ENST00000585482	10309	10137.2	0	0
ENST00000540200	2121	1949.24	0	0
ENST00000618887	1524	1352.24	0	0
ENST00000324093	7094	6922.24	0	0
ENST00000504689	546	374.245	0	0
ENST00000505237	507	335.245	0	0
ENST00000506979	691	519.245	0	0
ENST00000354858	1021	849.245	0	0
ENST00000373449	3586	3414.24	241.112	3.04904
ENST00000467905	880	708.245	0	0
ENST00000480134	811	639.245	0	0
ENST00000487289	920	748.245	0	0
ENST00000548033	936	764.245	1858.89	105.017
ENST00000626911	160	61.913	0	0
ENST00000629371	3576	3404.24	0	0
ENST00000226279	5668	5496.24	0	0
ENST00000510674	455	283.245	0	0
ENST00000001008	3732	3560.24	0	0
ENST00000538622	572	400.245	0	0
ENST00000539181	370	198.245	0	0
ENST00000544366	287	115.245	0	0
ENST00000630279	156	61.2204	0	0
ENST00000356634	3033	2861.24	0	0
ENST00000400181	3059	2887.24	0	0
ENST00000465864	568	396.245	0	0
ENST00000494920	905	733.245	113	6.65378
ENST00000266022	3750	3578.24	0	0
ENST00000421682	684	512.245	49	4.13007
ENST00000422955	2324	2152.24	0	0
ENST00000433811	582	410.245	0	0
ENST00000438912	473	301.245	0	0
ENST00000442092	2260	2088.24	0	0
ENST00000443081	4010	3838.24	0	0
ENST00000446471	695	523.245	0	0
ENST00000158166	2459	2287.24	0	0
ENST00000348335	3563	3391.24	0	0
ENST00000381769	3508	3336.24	0	0
ENST00000314748	1054	882.245	0	0
ENST00000396093	932	760.245	2.54905	0.144765
ENST00000421138	2572	2400.24	0	0
ENST00000444129	3702	3530.24	0	0
ENST00000536240	565	393.245	0	0
ENST00000536964	578	406.245	174.304	18.525
ENST00000539672	579	407.245	0	0
ENST00000542432	600	428.245	186.147	18.7674
ENST00000251739	1193	1021.24	0	0
ENST00000305866	3613	3441.24	0	0
ENST00000443443	554	382.245	0	0
ENST00000458530	667	495.245	0	0
ENST00000458707	1898	1726.24	949	23.7358
ENST00000544910	5736	5564.24	0	0
ENST00000004982	1458	1286.24	175	5.87427
ENST00000587965	711	539.245	0	0
ENST00000592984	1634	1462.24	0	0
ENST00000007510	2545	2373.24	0	0
ENST00000314737	3858	3686.24	27036.1	316.665
ENST00000378944	4219	4047.24	16.8522	0.179778
ENST00000587447	2983	2811.24	0	0
ENST00000588248	2004	1832.24	0	0
ENST00000007516	717	545.245	65.7982	5.21029
ENST00000562133	503	331.245	52.7105	6.87048
ENST00000567761	520	348.245	926.491	114.867
ENST00000570319	885	713.245	0	0
ENST00000005178	3576	3404.24	0	0
ENST00000330550	2033	1861.24	0	0
ENST00000368919	1987	1815.24	0	0
ENST00000424139	737	565.245	0	0
ENST00000434949	1021	849.245	25	1.271
ENST00000437378	1213	1041.24	0	0
ENST00000451557	1968	1796.24	0	0
ENST00000231749	2896	2724.24	0	0
ENST00000360165	1757	1585.24	0	0
ENST00000442887	1072	900.245	0	0
ENST00000258738	2906	2734.24	13	0.205279
ENST00000404938	5811	5639.24	0	0
ENST00000406935	1483	1311.24	0	0
ENST00000443026	2247	2075.24	0	0
ENST00000379044	2876	2704.24	0	0
ENST00000265631	3136	2964.24	11468	167.037
ENST00000416240	3192	3020.24	0	0
ENST00000265437	2899	2727.24	0	0
ENST00000323984	2142	1970.24	0	0
ENST00000393443	2360	2188.24	0	0
ENST00000393444	2113	1941.24	0	0
ENST00000393446	2114	1942.24	0	0
ENST00000393447	2182	2010.24	0	0
ENST00000393449	2127	1955.24	0	0
ENST00000393451	2110	1938.24	0	0
ENST00000417919	577	405.245	216.784	23.0966
ENST00000420755	549	377.245	0	0
ENST00000421345	531	359.245	0	0
ENST00000422922	1887	1715.24	0	0
ENST00000432298	1956	1784.24	1884.72	45.6071
ENST00000434836	579	407.245	0	0
ENST00000446490	1694	1522.24	5.75903	0.163344
ENST00000449366	542	370.245	0	0
ENST00000465133	2155	1983.24	0	0
ENST00000477742	780	608.245	1.73488	0.123149
ENST00000490039	1689	1517.24	0	0
ENST00000066544	5801	5629.24	0	0
ENST00000527547	2579	2407.24	0	0
ENST00000531206	3177	3005.24	0	0
ENST00000571643	716	544.245	0	0
ENST00000575483	781	609.245	0	0
ENST00000262418	4965	4793.24	0	0
ENST00000399246	3855	3683.24	0	0
ENST00000631130	1433	1261.24	4	0.13693
ENST00000359558	3696	3524.24	0	0
ENST00000360249	1502	1330.24	76.0679	2.46893
ENST00000394441	1774	1602.24	4746	127.89
ENST00000421592	3626	3454.24	108.937	1.36163
ENST00000426151	1741	1569.24	0	0
ENST00000321143	2277	2105.24	364.338	7.47206
ENST00000380762	1072	900.245	0	0
ENST00000380763	1000	828.245	169.662	8.84436
ENST00000005340	3018	2846.24	0	0
ENST00000574143	992	820.245	0	0
ENST00000575086	900	728.245	0	0
ENST00000575458	2659	2487.24	0	0
ENST00000575756	1136	964.245	0	0
ENST00000161006	1386	1214.24	0	0
ENST00000571228	1037	865.245	0	0
ENST00000262803	5348	5176.24	0	0
ENST00000599848	5311	5139.24	0	0
ENST00000345317	3998	3826.24	1301	14.6806
ENST00000432747	577	405.245	0	0
ENST00000317881	1274	1102.24	1162	45.5163
ENST00000394650	2278	2106.24	2673	54.7935
ENST00000006015	2295	2123.24	0	0
ENST00000517402	2137	1965.24	0	0
ENST00000292614	932	760.245	0	0
ENST00000393794	784	612.245	2.48916	0.175536
ENST00000225296	5618	5446.24	741.019	5.87451
ENST00000433302	2225	2053.24	0	0
ENST00000572490	2564	2392.24	0.00391196	7.06037e-05
ENST00000318579	2707	2535.24	6615.68	112.666
ENST00000329168	2129	1957.24	0	0
ENST00000393661	1206	1034.24	3.94125	0.164532
ENST00000549132	1152	980.245	406.374	17.8991
ENST00000423059	10663	10491.2	34.9344	0.143769
ENST00000617773	10583	10411.2	5718.07	23.713
ENST00000262327	3055	2883.24	0	0
ENST00000378526	8400	8228.24	0	0
ENST00000585740	887	715.245	0	0
ENST00000585941	1699	1527.24	0	0
ENST00000592690	722	550.245	0	0
ENST00000005386	4370	4198.24	10.9646	0.112762
ENST00000380650	2149	1977.24	0	0
ENST00000432584	2133	1961.24	4290.04	94.4427
ENST00000289416	2845	2673.24	0	0
ENST00000440284	1517	1345.24	0	0
ENST00000561584	561	389.245	0	0
ENST00000561795	580	408.245	0	0
ENST00000562251	1931	1759.24	6.01995	0.147743
ENST00000563914	771	599.245	0	0
ENST00000564701	756	584.245	0	0
ENST00000568235	558	386.245	0	0
ENST00000569141	405	233.245	876.627	162.272
ENST00000261377	2722	2550.24	0	0
ENST00000348433	2604	2432.24	0	0
ENST00000561474	617	445.245	0	0
ENST00000563068	563	391.245	0	0
ENST00000563617	813	641.245	0	0
ENST00000564274	2447	2275.24	22.2877	0.422937
ENST00000565340	720	548.245	0	0
ENST00000566276	924	752.245	100.715	5.7806
ENST00000568046	586	414.245	0	0
ENST00000568501	624	452.245	0	0
ENST00000568647	566	394.245	0	0
ENST00000568894	580	408.245	1799	190.261
ENST00000394391	2182	2010.24	0	0
ENST00000563341	505	333.245	0	0
ENST00000565786	641	469.245	0	0
ENST00000565961	1814	1642.24	0	0
ENST00000567518	2016	1844.24	0	0
ENST00000567751	328	156.245	0	0
ENST00000568940	1137	965.245	0	0
ENST00000569370	1559	1387.24	0	0
ENST00000569979	896	724.245	0	0
ENST00000610743	2583	2411.24	694.048	12.4276
ENST00000612623	495	323.245	4.66183	0.622679
ENST00000613503	3456	3284.24	3.29059	0.0432591
ENST00000614794	1559	1387.24	0	0
ENST00000618220	2459	2287.24	0	0
ENST00000322813	3028	2856.24	0	0
ENST00000378557	3070	2898.24	0	0
ENST00000378561	5771	5599.24	0	0
ENST00000378566	2566	2394.24	3238.13	58.3935
ENST00000488109	2999	2827.24	15513.9	236.917
ENST00000603301	3256	3084.24	0	0
ENST00000605244	3016	2844.24	0	0
ENST00000579263	746	574.245	0	0
ENST00000580174	157	61.9008	0	0
ENST00000581756	686	514.245	0	0
ENST00000621465	895	723.245	3	0.179092
ENST00000265717	3745	3573.24	0	0
ENST00000312196	2345	2173.24	0	0
ENST00000337339	3446	3274.24	0	0
ENST00000361672	2256	2084.24	0	0
ENST00000380692	1071	899.245	0	0
ENST00000380693	2377	2205.24	0	0
ENST00000398527	2324	2152.24	0	0
ENST00000421368	795	623.245	38	2.63247
ENST00000476743	560	388.245	0	0
ENST00000262367	10803	10631.2	0	0
ENST00000382070	7598	7426.24	0	0
ENST00000570939	864	692.245	0	0
ENST00000571826	627	455.245	0	0
ENST00000572134	846	674.245	0	0
ENST00000573517	716	544.245	0	0
ENST00000268893	7483	7311.24	0	0
ENST00000343736	5947	5775.24	0	0
ENST00000580669	809	637.245	7.63685	0.517425
ENST00000581675	1553	1381.24	0	0
ENST00000582679	887	715.245	846.363	51.0906
ENST00000225275	3215	3043.24	0	0
ENST00000577220	260	88.4783	0	0
ENST00000222381	2568	2396.24	0	0
ENST00000321027	4440	4268.24	0	0
ENST00000409857	2516	2344.24	0	0
ENST00000427862	632	460.245	0	0
ENST00000442309	642	470.245	0	0
ENST00000470503	1066	894.245	0	0
ENST00000492826	443	271.245	0	0
ENST00000541687	4318	4146.24	0	0
ENST00000348227	1147	975.245	6.15425	0.272459
ENST00000409791	854	682.245	0	0
ENST00000426787	576	404.245	1163.85	124.305
ENST00000331536	3175	3003.24	0	0
ENST00000412227	1213	1041.24	0	0
ENST00000419147	2959	2787.24	0	0
ENST00000442291	1993	1821.24	0	0
ENST00000265723	4020	3848.24	0	0
ENST00000358400	3826	3654.24	0	0
ENST00000359206	3923	3751.24	25	0.287742
ENST00000417608	2007	1835.24	0	0
ENST00000440025	523	351.245	0	0
ENST00000453593	3699	3527.24	0	0
ENST00000257745	6714	6542.24	0	0
ENST00000311117	6874	6702.24	0	0
ENST00000334914	5337	5165.24	36.9711	0.309037
ENST00000473063	375	203.245	0	0
ENST00000474203	617	445.245	0	0
ENST00000476671	2523	2351.24	0	0
ENST00000478990	1500	1328.24	0	0
ENST00000479838	883	711.245	32.9091	1.99773
ENST00000495267	1133	961.245	4.11973	0.185043
ENST00000622386	1588	1416.24	0	0
ENST00000006777	1802	1630.24	0	0
ENST00000318622	1878	1706.24	0	0
ENST00000428119	1274	1102.24	0	0
ENST00000293894	3049	2877.24	0	0
ENST00000306270	6054	5882.24	1793.27	13.1626
ENST00000503631	3560	3388.24	1569.38	19.9983
ENST00000510291	4109	3937.24	81.3138	0.891684
ENST00000610980	5195	5023.24	0.0327967	0.000281894
ENST00000005082	2021	1849.24	0	0
ENST00000343338	3145	2973.24	0	0
ENST00000354599	2970	2798.24	0	0
ENST00000399602	2369	2197.24	0	0
ENST00000427810	560	388.245	0	0
ENST00000429541	2389	2217.24	0	0
ENST00000438262	1018	846.245	0	0
ENST00000525502	546	374.245	0	0
ENST00000526601	2008	1836.24	0	0
ENST00000528410	1001	829.245	0	0
ENST00000528796	881	709.245	0	0
ENST00000529678	579	407.245	0	0
ENST00000532539	519	347.245	0	0
ENST00000533036	764	592.245	0	0
ENST00000534569	682	510.245	0	0
ENST00000618467	440	268.245	0	0
ENST00000620374	3342	3170.24	0	0
ENST00000357337	14736	14564.2	0.374284	0.00110956
ENST00000429715	3660	3488.24	0	0
ENST00000466564	364	192.245	0	0
ENST00000544440	14664	14492.2	247.016	0.735918
ENST00000612956	1542	1370.24	13.6093	0.428823
ENST00000355619	3503	3331.24	0	0
ENST00000417323	1093	921.245	0	0
ENST00000356798	5213	5041.24	0	0
ENST00000358164	4673	4501.24	0	0
ENST00000433423	1416	1244.24	0	0
ENST00000564118	699	527.245	0	0
ENST00000569725	545	373.245	0	0
ENST00000007708	2384	2212.24	6579.19	128.404
ENST00000503176	3440	3268.24	0	0
ENST00000503614	947	775.245	0.0685097	0.00381551
ENST00000505440	615	443.245	0	0
ENST00000508030	578	406.245	0	0
ENST00000510219	576	404.245	0	0
ENST00000512238	590	418.245	0	0
ENST00000614357	2493	2321.24	1015.74	18.893
ENST00000007722	3665	3493.24	0	0
ENST00000320031	4888	4716.24	0	0
ENST00000506827	827	655.245	0	0
ENST00000512553	351	179.245	0	0
ENST00000304543	2996	2824.24	0	0
ENST00000338565	2906	2734.24	0	0
ENST00000379177	7558	7386.24	30.105	0.175976
ENST00000379188	7513	7341.24	61685	362.785
ENST00000419690	300	128.245	0	0
ENST00000428571	600	428.245	0	0
ENST00000539115	6801	6629.24	0	0
ENST00000200639	1867	1695.24	0	0
ENST00000371335	4030	3858.24	0	0
ENST00000434600	2089	1917.24	0	0
ENST00000262407	3333	3161.24	0	0
ENST00000587295	496	324.245	0	0
ENST00000588098	281	109.245	0	0
ENST00000325885	3825	3653.24	0	0
ENST00000428113	1547	1375.24	500	15.6975
ENST00000353258	2958	2786.24	18	0.278928
ENST00000569773	739	567.245	0	0
ENST00000569899	1618	1446.24	0	0
ENST00000358607	839	667.245	0	0
ENST00000450195	702	530.245	165	13.4353
ENST00000595490	410	238.245	0	0
ENST00000392386	1792	1620.24	0	0
ENST00000597131	520	348.245	0	0
ENST00000007414	3640	3468.24	1452.74	18.0849
ENST00000392507	3349	3177.24	0	0
ENST00000613735	2836	2664.24	1090.26	17.6684
ENST00000261713	826	654.245	0	0
ENST00000394642	1683	1511.24	5.72279	0.163498
ENST00000395149	808	636.245	684.28	46.4354
ENST00000439138	896	724.245	1221.46	72.8168
ENST00000578289	806	634.245	3.54123	0.241067
ENST00000579849	4434	4262.24	0	0
ENST00000583437	776	604.245	0	0
ENST00000007699	1590	1418.24	0	0
ENST00000571464	640	468.245	12	1.10649
ENST00000007735	1287	1115.24	0	0
ENST00000344686	4460	4288.24	50	0.503419
ENST00000376926	4583	4411.24	0	0
ENST00000617331	1049	877.245	0	0
ENST00000302539	4923	4751.24	0	0
ENST00000389817	4921	4749.24	4574.85	41.5902
ENST00000528374	611	439.245	0	0
ENST00000612903	183	63.1652	3.15435	2.15611
ENST00000005284	3088	2916.24	0	0
ENST00000005286	3480	3308.24	34.68	0.452606
ENST00000453848	3346	3174.24	7613.32	103.555
ENST00000535480	692	520.245	0	0
ENST00000536409	454	282.245	0	0
ENST00000540112	2013	1841.24	0	0
ENST00000544065	990	818.245	0	0
ENST00000587805	690	518.245	0	0
ENST00000589774	552	380.245	0	0
ENST00000590432	554	382.245	0	0
ENST00000593014	577	405.245	771.785	82.2278
ENST00000610402	3204	3032.24	251.412	3.57982
ENST00000612035	2161	1989.24	0	0
ENST00000612116	2266	2094.24	0	0
ENST00000614600	2285	2113.24	0	0
ENST00000616681	3267	3095.24	0	0
ENST00000616784	2542	2370.24	0	0
ENST00000618940	3415	3243.24	0	0
ENST00000621668	2055	1883.24	0	0
ENST00000621914	5702	5530.24	670.802	5.23708
ENST00000628168	192	56.0424	0	0
ENST00000319273	1239	1067.24	460	18.6094
ENST00000346867	1011	839.245	0	0
ENST00000350485	975	803.245	0	0
ENST00000219069	3830	3658.24	0	0
ENST00000538765	1721	1549.24	0	0
ENST00000572748	759	587.245	0	0
ENST00000573578	1636	1464.24	0	0
ENST00000574253	1139	967.245	0	0
ENST00000574674	691	519.245	0	0
ENST00000575332	2637	2465.24	0	0
ENST00000575823	851	679.245	0	0
ENST00000006053	3321	3149.24	283.639	3.88865
ENST00000563383	3313	3141.24	0	0
ENST00000564948	563	391.245	0	0
ENST00000565912	5796	5624.24	11100.4	85.2142
ENST00000006658	2719	2547.24	0	0
ENST00000356488	2634	2462.24	87	1.52555
ENST00000619622	2769	2597.24	0	0
ENST00000352832	7848	7676.24	0	0
ENST00000354983	8138	7966.24	0	0
ENST00000358244	7030	6858.24	0	0
ENST00000359106	7648	7476.24	0	0
ENST00000360761	7497	7325.24	3.011e-06	1.77471e-08
ENST00000416767	4899	4727.24	13.5768	0.124001
ENST00000429973	7120	6948.24	7.13349e-06	4.43268e-08
ENST00000442258	7226	7054.24	1437.98	8.80117
ENST00000502264	6921	6749.24	0	0
ENST00000503485	6768	6596.24	6393.79	41.8505
ENST00000505165	6633	6461.24	821.048	5.48645
ENST00000506520	1478	1306.24	0	0
ENST00000507336	7116	6944.24	28.1668	0.175126
ENST00000507510	7014	6842.24	16343.7	103.131
ENST00000507609	6849	6677.24	0	0
ENST00000507896	6600	6428.24	15.4736	0.103929
ENST00000510115	6912	6740.24	0	0
ENST00000510366	6714	6542.24	0.00222898	1.47102e-05
ENST00000512389	6837	6665.24	0.0563193	0.000364821
ENST00000513689	6879	6707.24	1.80965e-06	1.16491e-08
ENST00000513964	6735	6563.24	0	0
ENST00000514079	6891	6719.24	0	0
ENST00000514181	6795	6623.24	0	0
ENST00000514717	6699	6527.24	0	0
ENST00000515165	6870	6698.24	2.5706	0.0165696
ENST00000515411	6960	6788.24	2.01868e-05	1.28395e-07
ENST00000515765	6981	6809.24	440.684	2.79427
ENST00000570567	1255	1083.24	0	0
ENST00000326577	1033	861.245	0	0
ENST00000341627	881	709.245	0	0
ENST00000573001	648	476.245	0	0
ENST00000575124	1133	961.245	0	0
ENST00000575836	161	62.1315	0	0
ENST00000518156	2304	2132.24	801	16.2194
ENST00000555308	666	494.245	0	0
ENST00000381250	4025	3853.24	0	0
ENST00000553414	3544	3372.24	0	0
ENST00000554146	2982	2810.24	0	0
ENST00000554752	11169	10997.2	0	0
